Extensometer_1_mm,Force_1_N,Extensometer_2_mm,Force_2_N
0.001326194149165001,489.59480293997854,3.3928422217544996,17487.047250508716
0.001347163361110666,495.6356991969353,3.3928649511219997,17493.002390711008
0.0013716273969796237,501.80457074391023,3.392890927684499,17498.884583131887
0.0013978389342788643,508.0116635354272,3.3929104101894993,17504.573379109006
0.0014196818969396715,513.834954863959,3.3929396339469995,17511.191269697498
0.0014371561954934068,519.8734534574025,3.392965610509499,17517.089861232027
0.0014502620088773462,525.9185230060403,3.392994833934499,17523.22708814452
0.001479094619384737,532.3693405556228,3.3930273045544994,17529.404464611125
0.0015081228451511212,538.3130296526922,3.393053281116999,17535.78937468843
0.0014956877478933149,544.2281956017412,3.3930857520694997,17541.595226407822
0.0014874679477181747,550.57187039051,3.393121469884499,17547.324737425733
0.0014811450128853084,556.7380445660325,3.3931636817569992,17553.616342201225
