strain_1_mm/mm,stress_1_MPa,strain_2_mm/mm,stress_2_MPa
-0.0002294657,75.47246924056003,0.3534425704144022,815.3834535426389
-0.00024227472,76.32543487484091,0.35410671646094993,815.3886720407297
-0.00021714508399999998,77.1943657191345,0.3543428771631949,814.5175222740772
-0.000224283244,78.06235468816291,0.35478615641449807,814.342978362325
-0.000211053936,78.911472210437,0.3551593114751931,813.6350021213407
-0.00020367402400000003,79.78464997878659,0.3554656234849025,813.3592278319899
-0.000217876548,80.65018243529912,0.3560899077525663,812.7834111158252
-0.000198336096,81.52098430207892,0.35614574135986016,813.0272804412389
-0.0001878147,82.37083156554942,0.3568374381324937,812.2183283835384
-0.00019491596,83.22901994060247,0.3573028989723186,811.8992363173526
-0.000195288864,84.11441238862962,0.3575153866589406,812.3012728044123
-0.000180470628,84.99378447178617,0.35819545030018557,811.4017819261774
