,Strain_DIC,Fuerza_kN
132,9.828239253502279e-06,33.301243
133,1.0245277768635324e-05,33.515381
134,1.0662320470523735e-05,33.729557
135,1.1079358985656773e-05,33.936893
136,1.1496397500789825e-05,34.100441
137,1.191344020267823e-05,34.253132
138,1.2330478717811274e-05,34.449707
139,1.2747517232944312e-05,34.705933
140,1.3164559934832724e-05,34.924465
141,1.3581598449965769e-05,35.121437
142,1.399864115185418e-05,35.340237
143,1.4415679666987218e-05,35.525192
144,1.483271818212027e-05,35.722263
145,1.5249760884008675e-05,35.957561
146,1.566679939914172e-05,36.18482999999999
147,1.6083837914274757e-05,36.385735
148,1.650088061616317e-05,36.584469
149,1.6917919131296214e-05,36.810791
150,1.7334961833184625e-05,37.072853
151,1.7752000348317663e-05,37.27673
152,1.8169038863450715e-05,37.44873
153,1.8586081565339126e-05,37.706779
154,1.9003120080472164e-05,37.898979
155,1.9420158595605202e-05,38.06924099999999
156,1.9837201297493614e-05,38.238434
157,2.0254239812626665e-05,38.476776
158,2.067128251451507e-05,38.742229
159,2.1088321029648115e-05,38.95780899999999
160,2.150535954478116e-05,39.142844999999994
161,2.1922402246669565e-05,39.34977
162,-3.7018615384572256e-05,39.57206000000001
163,-1.2580090059054044e-05,39.780411
164,-4.338818391030194e-06,39.96825400000001
165,-8.046296741993401e-06,40.174637
166,-7.211980760398491e-05,40.39806
167,-4.7384192767074065e-05,40.597054
168,-3.358630959939377e-06,40.80805600000001
169,-3.086886772237974e-05,41.053749
170,-1.8666395687503813e-05,41.268032
171,-4.728327650599781e-05,41.446152
172,-3.250646143441847e-05,41.671288
173,-6.247792994213502e-05,41.919743
174,-9.392498067098007e-05,42.101257
175,-7.266379283200261e-05,42.299141
176,-7.221646100700193e-05,42.531357
177,6.5230036569570394e-06,42.771107
178,4.082244900004854e-05,42.974644
179,4.8491646206438674e-05,43.141125
180,3.831252979797412e-05,43.360512
181,-5.849314640009072e-06,43.61265600000001
182,3.0131834758002508e-05,43.794712
183,2.570763582899935e-05,43.952408000000005
184,2.9057090712001986e-05,44.194347
185,7.221915342801765e-05,44.432266
186,9.590473625000815e-05,44.606415
187,0.00010953184668797652,44.768879
188,0.00013499440445204552,44.978207
189,9.480214837900132e-05,45.209526
190,8.689646125599462e-05,45.407993
191,0.00010314624741398843,45.60670499999999
192,0.00015629647230999406,45.812809
193,0.00014424061477004394,46.037487
194,0.00011249057500000611,46.247139
195,0.0001511076896400172,46.43417
196,0.0001929156352999981,46.62339000000001
197,0.00022877517537998667,46.840759
198,0.00030473220087994814,47.041046
199,0.0002942158436199608,47.214397
200,0.00016778413491997274,47.431866
201,0.00017381839775996663,47.644791
202,0.0002686278562500021,47.833427
203,0.00029849464745993414,48.003819
204,0.0003497823318399922,48.277794
205,0.0003308137942200011,48.501625000000004
206,0.0003180902062900092,48.667427
207,0.00033419996267998464,48.829201
208,0.0003689628984000731,48.996597
209,0.0003104891823800073,49.256172
210,0.00037900885000004584,49.449554
211,0.000433599935890021,49.600868
212,0.00040844401275998826,49.802367999999994
213,0.0004392910163200814,50.046841
214,0.00040629825604002705,50.220505
215,0.0004345614475899321,50.37826200000001
216,0.00033682075583998,50.613205
217,0.0003846884038600021,50.792805
218,0.0003731145624999893,50.951694
219,0.00039561001528000796,51.140305
220,0.0004211959651799987,51.35825
221,0.00044175750545998044,51.554863
222,0.00044749693509000947,51.720043
223,0.0003672813055799387,51.882523
224,0.00043206245834000374,52.150455
225,0.0004268439750699723,52.35046
226,0.00044488254999993504,52.480999
227,0.0005713429404400018,52.602909
228,0.00048435147515998677,52.807312
229,0.0004899973606599958,53.030334
230,0.0004623370483999852,53.193668
231,0.0004622697943099718,53.391331
232,0.0005339086975400002,53.589497
233,0.0005456982390399986,53.76144
234,0.0005592103375000068,53.919468
235,0.000564171546319942,54.124413
236,0.00047788961159999564,54.30717799999999
237,0.0004939630583400008,54.469376
238,0.0005265979891699536,54.67625
239,0.0005626020635199956,54.872368
240,0.0005510446164900337,55.037289
241,0.0005851021671000258,55.24188600000001
242,0.0005407674750000032,55.392437
243,0.0005759588434300326,55.545437
244,0.000574027747150014,55.759071
245,0.0006726145715199736,55.943771
246,0.0006335723516799999,56.084053
247,0.0006283809222699978,56.274437
248,0.0006136138292399745,56.509075
249,0.0006403545078000006,56.672726
250,0.0006707688875000679,56.783955
251,0.0007422872621600521,56.905537
252,0.0006200423127199967,57.101849
253,0.0005822981459700519,57.286968
254,0.0005536138088200074,57.456127
255,0.0006561013436399977,57.663802999999994
256,0.0006542990783699969,57.818764
257,0.0006738268196600099,57.961712
258,0.0007365270750000092,58.155563
259,0.0007337784062300025,58.352699
260,0.0007584827127699659,58.514824000000004
261,0.0007233746674599654,58.675377
262,0.0007892250726399931,58.847305
263,0.0007460882854600265,58.997635
264,0.0007192053495599998,59.168201
265,0.000720250397520029,59.39304
266,0.0007661901937499812,59.526299
267,0.0007956649899399861,59.665279
268,0.0007328309014400152,59.785435
269,0.0007397365945200038,59.897278
270,0.0008883459074999354,60.038963
271,0.0007890019059600446,60.253857
272,0.0007175001641300351,60.393784
273,0.0008412028970801479,60.540089
274,0.0007106173,60.729317
275,0.0008357676135399787,60.884182
276,0.000805867874370011,61.045959
277,0.0007920190573200205,61.219185
278,0.0008692141809199883,61.352455
279,0.0008829205594999994,61.492615
280,0.0009042214831999508,61.661773999999994
